"sheet","brand","excel_name","target_sql_name","status"
"Бронепленка","LLumar","❌Хард Глосс","","unmatched"
"Архитектурные","LLumar","4mil Silver 20 (1,83)","","unmatched"
"Архитектурные","LLumar","8mil Silver 20 (1,83)","","unmatched"
"Тонировка","LLumar","AIR 75 IR SR HPR    0,9 х 30 м","","unmatched"
"Тонировка","LLumar","AIR 75 IR SR HPR - 1,52 х 30 м","","unmatched"
"Тонировка","LLumar","AIR 80 BLSRHPR  0,90 х 30 м","","unmatched"
"Тонировка","LLumar","AIR 80 BLSRHPR - 1,52 х 30 м","","unmatched"
"Тонировка","LLumar","AIR 90 СLSRHPR  1,52Х 30 м","","unmatched"
"Тонировка","LLumar","AIR 90 СLSRHPR  1,83Х 30 м","","unmatched"
"Архитектурные","LLumar","ASWF Bronze Matte","ASWF Bronze Matte","prefix_or_exact"
"Архитектурные","LLumar","ASWF Grey Matte","ASWF Grey Matte","prefix_or_exact"
"Архитектурные","LLumar","ASWF Silver Matte","ASWF Silver Matte","prefix_or_exact"
"Тонировка","LLumar","ATR 05 CH SR HPR","ATR 05 CH SR HPR","prefix_or_exact"
"Тонировка","LLumar","ATR 15 CH SR HPR","ATR 15 CH SR HPR","prefix_or_exact"
"Тонировка","LLumar","ATR 20 CH SR HPR","ATR 20 CH SR HPR","prefix_or_exact"
"Тонировка","LLumar","ATR 35 CH SR HPR","ATR 35 CH SR HPR","prefix_or_exact"
"Тонировка","LLumar","ATR 50 CH SR HPR","ATR 50 CH SR HPR","prefix_or_exact"
"Тонировка распродажа","LLumar","ATT 05 S SR HPR 2","LLumar ATT 05 S SR HPR 2","prefix_or_exact"
"Тонировка","LLumar","ATС 05 CH SR HPR","","unmatched"
"Тонировка","LLumar","ATС 15 CH SR HPR","","unmatched"
"Тонировка","LLumar","ATС 20 CH SR HPR","","unmatched"
"Тонировка","LLumar","ATС 35 CH SR HPR","","unmatched"
"Тонировка","LLumar","ATС 50 CH SR HPR","","unmatched"
"Тонировка","LLumar","ATС 70 CH SR HPR","","unmatched"
"Архитектурные","LLumar","AU 85 UV SR HPR","LLumar AU 85 UV SR HPR","prefix_or_exact"
"Архитектурные","LLumar","Black Out(1,524  х30м)","","unmatched"
"Архитектурные","LLumar","Blue matte(1,524х30м п)","","unmatched"
"Архитектурные","LLumar","Blue matte(1,524х60м п)","","unmatched"
"Бронепленка","LLumar","BodyFence Black 1,52","BodyFence Black 1,52","prefix_or_exact"
"Бронепленка","LLumar","BodyFence M, X Matt, X Satin","BodyFence M, X Matt, X Satin","prefix_or_exact"
"Бронепленка","LLumar","BodyFence Wide 1,83","BodyFence Wide 1,83","prefix_or_exact"
"Бронепленка","LLumar","BodyFence Х 1,52","","unmatched"
"Бронепленка","LLumar","BodyFence Х Fast 1,52","","unmatched"
"Архитектурные","LLumar","Bronze Matte(1,524х30м п)","","unmatched"
"Тонировка","LLumar","Carbon CBS ST BK 0330","Carbon CBS ST BK 0330","prefix_or_exact"
"Тонировка","LLumar","Carbon CBS ST BK 0530","Carbon CBS ST BK 0530","prefix_or_exact"
"Тонировка","LLumar","Carbon CBS ST BK 1530","Carbon CBS ST BK 1530","prefix_or_exact"
"Тонировка","LLumar","Carbon CBS ST BK 2030","Carbon CBS ST BK 2030","prefix_or_exact"
"Тонировка","LLumar","Carbon CBS ST BK 3530","Carbon CBS ST BK 3530","prefix_or_exact"
"Тонировка","LLumar","Carbon CBS ST BK 5030","Carbon CBS ST BK 5030","prefix_or_exact"
"Тонировка","LLumar","Carbon CBS ST BK 7030","Carbon CBS ST BK 7030","prefix_or_exact"
"Архитектурные","LLumar","Ceramic 90","","unmatched"
"Тонировка","LLumar","Ceramic PIR8070","Ceramic PIR8070","prefix_or_exact"
"Архитектурные","LLumar","Deco 1 (1,524  х60м)","","unmatched"
"Архитектурные","LLumar","Deco 17 (1,524  х60м)","","unmatched"
"Архитектурные","LLumar","Deco 18 (горош)","","unmatched"
"Архитектурные","LLumar","Deco 22(1,524  х30м)","","unmatched"
"Архитектурные","LLumar","Deco INT UV 003(1,525 х60м)","","unmatched"
"Архитектурные","LLumar","DLR 45","","unmatched"
"Архитектурные","LLumar","DLR 75","","unmatched"
"Архитектурные","LLumar","FROSTED SPARKLE","LLumar FROSTED SPARKLE","prefix_or_exact"
"Архитектурные","LLumar","Green matte(1,524х30м п)","","unmatched"
"Архитектурные","LLumar","Green matte(1,524х60м п)","","unmatched"
"Архитектурные","LLumar","GREY MATTE(1,524х30 м п)","","unmatched"
"Архитектурные","LLumar","GREY MATTE(1,524х60 м п)","","unmatched"
"Бронепленка","LLumar","G-Suit","G-Suit","prefix_or_exact"
"Тонировка","LLumar","HP 03 Black SR PS","HP 03 Black SR PS","prefix_or_exact"
"Тонировка","LLumar","HP 05 Black SR PS","HP 05 Black SR PS","prefix_or_exact"
"Тонировка","LLumar","HP 15 Black SR PS","HP 15 Black SR PS","prefix_or_exact"
"Тонировка","LLumar","HP 20 Black SR PS","HP 20 Black SR PS","prefix_or_exact"
"Тонировка","LLumar","HP 35 Black SR PS","HP 35 Black SR PS","prefix_or_exact"
"Тонировка","LLumar","HP 50 Black SR PS","HP 50 Black SR PS","prefix_or_exact"
"Тонировка","LLumar","HP 70 Black SR PS","HP 70 Black SR PS","prefix_or_exact"
"Архитектурные","LLumar","HP BLUE 30","","unmatched"
"Архитектурные","LLumar","HP BRONZE 30","","unmatched"
"Архитектурные","LLumar","HP GREEN 30","","unmatched"
"Винил","Luxfil","HX 20000 (цветные глянец / мат / сатин)","","unmatched"
"Винил","Luxfil","HX 30000 (карбоны, кожа, браш)","","unmatched"
"Винил","Luxfil","HX 30000 (цветные глянец / мат / сатин)","","unmatched"
"Винил","Luxfil","HX20890B (черный глянец)","","unmatched"
"Винил","Luxfil","HX20890B (черный матт)","","unmatched"
"Винил","Luxfil","HX20890B (черный сатин)","","unmatched"
"Винил","Luxfil","HX30000 (хромы глянец / сатин)","","unmatched"
"Винил","Luxfil","HXR150BGR черная структурная","","unmatched"
"Бронепленка","LLumar","Hybrid Black","Hybrid Black","prefix_or_exact"
"Архитектурные","LLumar","Illision(1,524 х30м) ext наружная","","unmatched"
"Архитектурные","LLumar","Illision(1,524 х30м) int внутрен","","unmatched"
