,,System.Xml.XmlElement,,,,,,,,,System.Xml.XmlElement,,,,,,,,,,,,,,,,,,,,,,,,
,№,LLumar (Ударопрочные),LLumar,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,1,"S CL SR PS 8 (1,52)",1.52,30,200 мкм,Ударопрочная прозрачная пленка. Ставим для посольства,5,502,652.6,,750,750,750,,,,,10,,10,2,,,,,,,,,,,,,,
,2,"S CL SR PS 8 (1,83)",1.83,30,200 мкм,,,620,806,,900,900,900,,,2,,7,,9,5,,,,,,,,,,,,,,
,3,"S CL SR PS 4 (1,83)",1.83,30,100 мкм,Ударопрочная прозрачная пленка. Ставим для посольства,5,354,460.2,,400,,,400,,4,,,,4,,,,,,,,,,,,,,,
,4,"S CL SR PS 4 (1,524)",1.52,30,100 мкм,,,295,383.5,,300,,,300,,,,,,0,,,,,,,,,,,,,,,
,5,AU 85 UV SR HPR,1.52,30,50 мкм,Музейная пленка на здания. 85% пропускания солнечного света,10,333,399.59999999999997,,400,,400,400,,,1,,,1,,,,,,,,,,,,,,,
,6,N 1020 SR PS 4,1.52,30,100 мкм,"ударопрочная, темное зеркало",10,490,637,,300,,300,300,,,,,,0,,,,,,,,,,,,,,,
,7,N1020 SR CDF,1.52,30,50 мкм,темное зеркало,5,356,462.8,,150,,150,150,,,,,,0,,,,,,,,,,,,,,,
,8,S SI 20 SR PS 4,1.52,30,100 мкм,"ударопрочная, зеркальная",10,500,650,,650,,650,650,,1,,7,,8,,,,,,,,,,,,,,,
,9,NRM SFD SR HPR горошек,1.52,30,50 мкм,декоративная белая в горошек,5,,,,200,,200,200,,,,,,0,,,,,,,,,,,,,,,
,10,FROSTED SPARKLE,1.52,30,50 мкм,декоративная белая матовая с вкраплениями,5,,,,200,,200,200,,,,,,0,,,,,,,,,,,,,,,
,11,RM PS 2 Зерк,1.52,30,50 мкм,"с одной стороны серая матовая, с другой - зеркало",5,,,,200,,200,200,,,,3,,3,,,,,,,,,,,,,,,
,12,NR M B PS 2 бронз,1.52,30,50 мкм,бронзовая матовая,5,,,,,,,,,,,,,0,,1нач,,,,,,,,,,,,,
,13,NR M PS 2 Белая,1.52,30,50 мкм,белая матовая,5,,,,200,,200,200,,1,,3,,4,,,,,,,,,,,,,,,
,14,LE 35 SR CDF,1.52,30,50 мкм,"архитектурная, энергосберегающая. 35% светопропускания. Зима - Лето",5,377,490.1,,600,,,600,,1,,1,,2,2,,,,,,,,,,,,,,
,15,LE 50,1.52,30,50 мкм,"архитектурная, энергосберегающая. 50% светопропускания. Зима - Лето",5,377,490.1,,600,,,600,,1,,1,,2,2,,,,,,,,,,,,,,
,16,R 35 SR HPR,1.52,30,50 мкм,"Архитектурная, зеркальная пленка. Светопропускание 35%",5,258,,,150,,150,150,,,2,,,2,,,,,,,,,,,,,,,
,17,R 20 SR CDF,1.52,30,50 мкм,"Архитектурная, зеркальная пленка. Светопропускание 20%",5,258,,,150,,150,150,,,7,,,7,,,,,,,,,,,,,,,
,18,R 20 SR CDF,1.83,30,50 мкм,,5,258,,,200,,200,200,,,2,,,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,№,Luxfil (Ударопрочные),Luxfil,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,1,LUXFIL SAFETY 2 light,1.52,30,50 мкм,Ударопрочная прозрачная пленка,3 года,29,36.96,6.16,103.488,85.00800000000001,44.351759999999999,,,,,102,88,190,,,,,,,,,,,,,,,
,2,LUXFIL SAFETY 4  light,1.52,30,100 мкм,,3 года,39,50.02,8.3366666666666678,140.05600000000001,115.04600000000002,60.023760000000003,,,1,,338,,339,,,,,,,,,,,,,,,
,3,LUXFIL SAFETY 8  light,1.52,30,200 мкм,,3 года,69,93.3,15.55,261.24,214.59,111.96,,,2,,202,85,289,,,,,,,,,,,,,,,
,4,LUXFIL SAFETY 12  light,1.52,30,300 мкм,,3 года,99,143.30000000000001,23.883333333333333,401.24000000000007,329.59000000000003,171.96,,,,,39,3,42,,1,,,,,,,,,,,,,
,5,"LUXFIL SAFETY 4 (1,83)  light",1.83,30,100 мкм,,3 года,65,86.17,14.361666666666668,241.27600000000001,198.191,103,,,2,,46,,48,,,,,,,,,,,,,,,
,6,"LUXFIL SAFETY 8 (1,83)  light",1.83,30,200 мкм,,3 года,86,114.5,19.083333333333332,320.60000000000002,263.35000000000002,137,,,,,58,,58,,,,,,,,,,,,,,,
,7,"LUXFIL SAFETY 12 (1,83)  light",1.83,30,300 мкм,,3 года,127,169.68,28.280000000000005,475.10400000000004,390.26400000000001,204,,,,,,,0,,,100,,,,,,,,,,,,
,55,Silver Safety 4 mil 15%,1.52,30,100 мкм,Серебро 15% для брони,3,82,90.2,15.033333333333333,252.56,207.46,153.34,100,3,,,,22,25,,,,,,,,,,,,,,,
,56,"Safety 2 mil(1,524 х30м)",1.52,30,50 мкм,Ударопрочные прозрачные пленки.,3,37,40.700000000000003,6.7833333333333332,113.96000000000001,93.610000000000014,69.19,50,,,,41,72,113,,,,,,,,,,,,,,,
,57,"Safety 2 mil(1,83 х30м)",1.83,30,50 мкм,,3,42,46.2,7.7,129.36000000000001,106.26,78.540000000000006,60,,,,27,,27,,,,,,,,,,,,,,,
,58,"Safety 4 mil(1,524х30м)",1.52,30,100 мкм,,3,47,51.7,8.6166666666666671,144.76,118.91000000000001,87.89,70,10,,,,97,107,,,,,,,,,,,,,,,
,59,"Safety 4 mil (1,83х30м)",1.83,30,100 мкм,,3,67,73.7,12.283333333333333,206.36,169.51,125.28999999999999,100,,,,,,0,,,,,,,,,,,,,,,
,60,"Safety 7 mil(1,524 х30м)",1.52,30,175 мкм,,3,95,104.5,17.416666666666668,292.60000000000002,240.35,177.64999999999998,140,,4,,,,4,,,,,,,,,,,,,,,
,61,"Safety 7 mil (1,83х30м)",1.83,30,175 мкм,,3,130,143,23.833333333333332,400.40000000000003,328.9,243.1,200,,2,,5,204,211,,,,,,,,,,,,,,,
,62,"Safety 12 mil (1,83)",1.83,30,300 мкм,,3,180,198,33,554.40000000000009,455.40000000000003,336.6,270,,,,,16,16,,,,,,,,,,,,,,,
,63,"Safety 12 mil (1,524)",1.52,30,300 мкм,,3,120,132,22,369.6,303.60000000000002,224.39999999999998,180,,,,,46,46,,,,,,,,,,,,,,,
,64,"Safety 11 mil (1,524)",1.52,30,275 мкм,,3,110,121,20.166666666666668,338.8,278.3,205.7,170,,,,,31,31,,,,,,,,,,,,,,,
,65,"Safety 11 mil (1,83)",1.83,30,275 мкм,,3,170,187,31.166666666666668,523.6,430.1,317.89999999999998,260,,,,,28,28,,,,,,,,,,,,,,,
,13,Safety Ceramic Super IR 7080 Green,1.52,30,100 мкм,Ударопрочные атермальные пленки,3,212,233.2,38.866666666666667,652.96,536.3599999999999,396.43999999999994,250,33,,,,,33,,,,,,,,,,,,,,,
,14,Safety Ceramic Super IR 7080 BLUE,1.52,30,100 мкм,,3,212,233.2,38.866666666666667,652.96,536.3599999999999,396.43999999999994,250,,,,14,40,54,,,,,,,,,,,,,,,
,,4.000 рулонов - 50% нужно распродать!,,,,,,,0.1,4,1.8,1.3,0.7,,,,,,,,,,,,,,,,,,,,,,
,№,Luxfil (Архитектурные),Luxfil,,,,,Себес,Достава,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,ИТОГО,Минимум СТОК,Начатые,Предзаказ,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,Подвал,Туалет,Офис,Льва 32,БЧК,,,,,,,,,,,,,,,,
,1,R GREY 10,1.52,30,50 мкм,Зеркальные цветные пленки. Серебро снутри. Цвет снаружи,3,55,60.5,10.083333333333334,169.4,139.15,102.85,,5,,,,31,36,10,1,50,,,,,,,,,,,,
,2,R ORANGE 10,1.52,30,50 мкм,,3,55,60.5,10.083333333333334,169.4,139.15,102.85,70,1,,,5,23,29,,1,,,,,,,,,,,,,
,3,R RED 10,1.52,30,50 мкм,,3,55,60.5,10.083333333333334,169.4,139.15,102.85,70,5,,,3,16,24,,1,,,,,,,,,,,,,
,4,R PINK 10,1.52,30,50 мкм,,3,55,60.5,10.083333333333334,169.4,139.15,102.85,70,,,,,,0,,1,,,,,,,,,,,,,
,45,R GREEN 10,1.52,30,50 мкм,,3,55,60.5,10.083333333333334,169.4,139.15,102.85,70,2,,,,28,30,,,,,,,,,,,,,,,
,5,R BLUE 10,1.52,30,50 мкм,,3,55,60.5,10.083333333333334,169.4,139.15,102.85,,4,,,,10,14,10,1,,,,,,,,,,,,,
,44,R GOLD 10,1.52,30,50 мкм,,3,55,60.5,10.083333333333334,169.4,139.15,102.85,,7,,,,61,68,,,,,,,,,,,,,,,
