,№,LLumar,LLumar,,,,,Себес,Достава,Цена С КЗ,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,,ИТОГО,Начатые,,,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,,Подвал,Туалет,Офис,Льва 32,Женя,БЧК,,,,,,,,,,,,,,,,
,1,SA 05 CH SR PS 4,1.52,30,100 мкм,"Ударопрочная металлизированная пленка с повышенной стабильностью цвета и увеличенным отражением солнечного тепла, с антицарапийным покрытием",5,378,529.19999999999993,,20,530,,530,550,,1,,,,,1,,,,,,,,,,,,,,,
,2,SA 15 CH SR PS 4,1.52,30,100 мкм,,,378,529.19999999999993,,20,530,,530,550,,,,,,,0,1 (~15м),,,,,,,,,,,,,,
,3,SA 35 CH SR PS 4,1.52,30,100 мкм,,,378,529.19999999999993,,20,530,,530,550,,,2,,,,2,,,,,,,,,,,,,,,
,4,SA 50 CH SR PS 4,1.52,30,100 мкм,,,378,529.19999999999993,,20,530,,530,550,,,1,,,,1,,,,,,,,,,,,,,,
,8,LA 20 S SR HPR,1.52,30,50 мкм,Тонировка + голуб оттенок,3,202,282,,15,290,,290,300,,,3,,,,3,,,,,,,,,,,,,,,
,9,ATT 05 S SR HPR 2,0.5,30,50 мкм,переход с темно синего на серебро,5,,,,10,0,,0,200,,,,,,,0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,№,Luxfil (Китай),Luxfil (Китай),,,,,Себес,Достава,,Отрез,1 рул,5 рул,20 рул,АКЦИЯ!,Склад,,,,,,ИТОГО,Начатые,,,,,,,,,,,,,,
,,,Ширина,Длина,Толщина,Описание плёнки,Гарант,,,,,,,,,Подвал,Туалет,Офис,Льва 32,Женя,БЧК,,,,,,,,,,,,,,,,
,,,,,,окрашеная тонирующая,0,28,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LUXFIL BLACK 05,1.52,30,50 мкм,,,28,36.4,,1.2133333333333334,36.4,36.4,36.4,45,,,,,,,0,,,,,,,,,,,,,,,
,,LUXFIL BLACK 15,1.52,30,50 мкм,,,28,36.4,,1.2133333333333334,36.4,36.4,36.4,45,2,,,5,,35,42,,,,,,,,,,,,,,,
,,LUXFIL BLACK 35,1.52,30,50 мкм,,,28,36.4,,1.2133333333333334,36.4,36.4,36.4,45,3,,,,,54,57,,,,,,,,,,,,,,,
,,LUXFIL BLACK 50,1.52,30,50 мкм,,,28,36.4,,1.2133333333333334,36.4,36.4,36.4,45,4,,,,,21,25,,,,,,,,,,,,,,,
,,LUXFIL BLACK 70,1.52,30,50 мкм,,,28,36.4,,1.2133333333333334,36.4,36.4,36.4,45,5,,,,,,5,,,,,,,,,,,,,,,
,,LUXFIL BLACK 80,1.52,30,50 мкм,,,28,36.4,,1.2133333333333334,36.4,36.4,36.4,45,5,,,3,,,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
