sheet,row,name,reason
"Тонировка распродажа",10,"PP 20 LU SR HPR",red_marked
"Тонировка распродажа",11,"PP 35 LU SR HPR",red_marked
"Тонировка распродажа",12,"PP 70 AG SR HPR",red_marked
"Тонировка распродажа",16,"LUXFIL BLACK 03",red_marked
"Тонировка",30,"PP 20 LU SR HPR",red_marked
"Тонировка",31,"PP 35 LU SR HPR",red_marked
"Тонировка",32,"PP 70 AG SR HPR",red_marked
"Тонировка",67,"LUXFIL BLACK 03",red_marked
"Тонировка",68,"LUXFIL BLACK 05",red_marked
"Тонировка",77,"Saver 15",red_marked
"Тонировка",78,"Saver 20",red_marked
"Тонировка",79,"Saver 35",red_marked
"Тонировка",80,"Saver 50",red_marked
"Тонировка",81,"Dimension 80",red_marked
"Тонировка",82,"Perfomer 3",red_marked
"Тонировка",83,"Perfomer 5",red_marked
"Тонировка",84,"Perfomer 15",red_marked
"Тонировка",85,"Perfomer 20",red_marked
"Тонировка",86,"Perfomer 50",red_marked
"Тонировка",87,"Perfomer 5 3mil",red_marked
"Тонировка",88,"Perfomer 15 3mil",red_marked
"Тонировка",89,"Perfomer 35 3mil",red_marked
"Тонировка",90,"Metalik 10",red_marked
"Тонировка",91,"Metalik 20",red_marked
"Тонировка",92,"HP CREAM 15",red_marked
"Тонировка",93,"Excel 15",red_marked
"Тонировка",94,"Excel 50",red_marked
"Тонировка",95,"Exterior Windshield 90см",red_marked
"Тонировка",96,"Exterior Windshield 1,2м",red_marked
"Тонировка",97,"Exterior Windshield 1,5м",red_marked
"Архитектурные",15,"NR M B PS 2 бронз",red_marked
"Архитектурные",114,"4mil Silver 20",red_marked
"Архитектурные",117,"Natur 10 (1,524 )",red_marked
"Архитектурные",125,"Silver 20",red_marked
"Архитектурные",126,"Silver 20(1,83)",red_marked
"Архитектурные",127,"Silver 35",red_marked
"Архитектурные",128,"Silver 35(1,83)",red_marked
"Архитектурные",129,"Illision(1,524 )",red_marked
"Бронепленка",21,"PPF  Dark Black (0.61 x 15m)",red_marked
"Бронепленка",91,"Stek",red_marked
